,leg,start_number,start_time,url,entry_number,driver,codriver,car
102,2,43,1. 6. 08:23,/entryinfo/54466-vodafone-rally-de-portugal-2019/2259116/,88,Fernandes Carlos,Cardoso Valter,Peugeot 208 R2
103,2,44,1. 6. 08:25,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268535/,92,Bell Ruairi,Garrod Darren,Peugeot 208 R2
104,2,45,1. 6. 08:27,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268531/,86,Linnamäe Georg,Korsia Volodymyr,Peugeot 208 R2
105,2,46,1. 6. 08:29,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268522/,81,Nunes Daniel,Raimundo Rui,Peugeot 208 R2
106,2,47,1. 6. 08:31,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268521/,87,Lopes Hugo,Mota Ribeiro Nuno,Peugeot 208 R2
107,2,48,1. 6. 08:33,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268534/,91,Tejpar Nabila,Freeman Max,Peugeot 208 R2
108,2,49,1. 6. 08:35,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268543/,84,Reyes González José Maria,Sanjuan de Eusebio Diego,Peugeot 208 R2
109,2,50,1. 6. 08:37,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268542/,80,Berdomás Lorenzo Daniel,Rivero David,Peugeot 208 R2
110,2,51,1. 6. 08:39,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268541/,82,Bassas Mas Josep,Coronado Jiménez Axel,Peugeot 208 R2
111,2,52,1. 6. 08:41,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268540/,85,Francolí Comellas Sergi,Salvo El Hage María,Peugeot 208 R2
112,2,53,1. 6. 08:43,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268526/,90,Sousa Ricardo,Marques Luís,Peugeot 208 R2
113,2,54,1. 6. 08:45,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280803/,93,Moreira Paulo,Macedo Marco,Peugeot 208 R2
